ReleaseDate,Movie,Genre,ProductionBudget,DomesticBoxOfficeToDate,Year,NetflixRating,OnNetflix,Awards,Nominations,BestPicture,RottenTomatosCriticScore,RottenTomatosAudienceScore,BigGenre,CalDate
15-Jun,Your Sister's Sister,Drama,120000,1597486,2012,NetflixRating,0,0,0,83,66,6.483870967741936
22-Jun,Abraham Lincoln: Vampire Hunter,Horror,67500000,37519139,2012,NetflixRating,0,0,0,35,51,6.709677419354839
22-Jun,Brave,Adventure,185000000,237282182,2012,NetflixRating,1,1,0,78,85,6.709677419354839
22-Jun,To Rome with Love,Romantic Comedy,21500000,16684352,2012,NetflixRating,0,0,0,43,41,6.709677419354839
27-Jun,Beasts of the Southern Wild,Drama,1800000,12795746,2012,NetflixRating,0,0,0,86,76,6.870967741935484
29-Jun,Ted,Comedy,50000000,218665740,2012,NetflixRating,0,0,0,68,74,6.935483870967742
29-Jun,People Like Us,Drama,16000000,12431792,2012,NetflixRating,0,0,0,55,63,6.935483870967742
3-Jul,The Amazing Spider-Man,Adventure,220000000,262030663,2012,NetflixRating,0,0,0,73,78,7.096774193548387
5-Jul,Katy Perry: Part of Me 3D,Concert/Performance,12000000,25326071,2012,NetflixRating,0,0,0,78,72,7.161290322580645
13-Jul,Ice Age: Continental Drift,Adventure,95000000,161321843,2012,NetflixRating,0,0,0,37,63,7.419354838709677
20-Jul,The Dark Knight Rises,Action,275000000,448139099,2012,NetflixRating,0,0,0,88,90,7.645161290322581
27-Jul,The Watch,Comedy,55000000,34353000,2012,NetflixRating,0,0,0,17,40,7.870967741935484
27-Jul,Step Up Revolution,Drama,33000000,35074677,2012,NetflixRating,0,0,0,42,69,7.870967741935484
3-Aug,Diary of a Wimpy Kid: Dog Days,Comedy,22000000,49008662,2012,NetflixRating,0,0,0,51,64,8.096774193548388
3-Aug,Total Recall,Action,125000000,58877969,2012,NetflixRating,0,0,0,30,47,8.096774193548388
17-Aug,The Expendables 2,Action,100000000,85028192,2012,NetflixRating,0,0,0,65,67,8.548387096774194
17-Aug,ParaNorman,Comedy,60000000,56003051,2012,NetflixRating,0,0,0,87,72,8.548387096774194
17-Aug,Sparkle,Drama,10000000,24397469,2012,NetflixRating,0,0,0,57,65,8.548387096774194
24-Aug,The Apparition,Horror,17000000,4936819,2012,NetflixRating,0,0,0,4,25,8.774193548387096
24-Aug,Premium Rush,Thriller/Suspense,35000000,20275446,2012,NetflixRating,0,0,0,76,60,8.774193548387096
29-Aug,The Oogieloves in the BIG Balloon Adventure,Adventure,20000000,1065907,2012,NetflixRating,0,0,0,27,69,8.935483870967742
7-Sep,The Cold Light of Day,Thriller/Suspense,20000000,3763583,2012,NetflixRating,0,0,0,5,29,9.225806451612904
7-Sep,The Inbetweeners,Comedy,5700000,35955,2012,NetflixRating,0,0,0,54,71,9.225806451612904
7-Sep,The Words,Drama,6000000,11494838,2012,NetflixRating,0,0,0,22,50,9.225806451612904
14-Sep,The Master,Drama,37500000,16247159,2012,NetflixRating,0,0,0,85,60,9.451612903225806
21-Sep,Dredd,Action,45000000,13414714,2012,NetflixRating,0,0,0,78,72,9.67741935483871
21-Sep,End of Watch,Thriller/Suspense,15000000,41003371,2012,NetflixRating,0,0,0,85,86,9.67741935483871
21-Sep,The Perks of Being a Wallflower,Drama,13000000,17742948,2012,NetflixRating,0,0,0,85,89,9.67741935483871
21-Sep,Trouble with the Curve,Drama,60000000,35763137,2012,NetflixRating,0,0,0,50,67,9.67741935483871
28-Sep,Hotel Transylvania,Comedy,85000000,148313048,2012,NetflixRating,0,0,0,45,72,9.903225806451612
