Release Date,Movie,Genre,Production Budget,Domestic Box Office to Date,Trailer,Year
21-Feb,The Little Death,Drama,,0,,2012
,,,,,,2012
24-Feb,Act of Valor,Action,12000000,70012847,Play,2012
,Carne de neon,Thriller/Suspense,,0,,2012
,La fee,Comedy,,38399,,2012
,The Forgiveness of Blood,Drama,,122593,,2012
,Gone,Thriller/Suspense,,11682205,Play,2012
,Goon,Comedy,,4164911,Play,2012
,Jodi Breakers,Romantic Comedy,,52618,,2012
,Stilyagi,Multiple Genres,,0,,2012
,Tere Naal Love Ho Gaya,Romantic Comedy,,177743,,2012
,Tomorrow When the War Began,Action,,4936,Play,2012
,Tyler Perry's Good Deeds,Drama,14000000,35025791,Play,2012
,Une vie de chat,Adventure,,287709,,2012
,Wanderlust,Comedy,32500000,17288155,Play,2012
,,,,,,2012
28-Feb,Justice League: Doom,Action,,0,,2012
,Scarlet Street,,,0,,2012
March: 2012,,,,,,2012
1-Mar,No Room for Rockstars,Documentary,,0,,2012
,,,,,,2012
2-Mar,Being Flynn,Comedy,,540152,,2012
,Art is...The Permanent Revolution,Documentary,,4291,,2012
,Better Than Something: Jay Reatard,Documentary,,17401,,2012
,Black Butterflies,Drama,,0,,2012
,Boy,Drama,,256211,,2012
,Falling Away,,,13157,,2012
,Gianni e le donne,Comedy,,317405,,2012
,In Film Nist,Documentary,,37706,,2012
,Last Days Here,Documentary,,7643,,2012
,London: Paris: New York,,,0,,2012
,Doctor Seuss' The Lorax,Adventure,67500000,214030500,Play,2012
,Lost Woods,Horror,,180117,,2012
,Paan Singh Tomar,Action,,40311,,2012
,Project X,Comedy,12000000,54731865,Play,2012
,Rang zidan fei,Comedy,,63012,,2012
,The Snowtown Murders,Thriller/Suspense,,8452,,2012
,Tim and Eric's Billion Dollar Movie,Comedy,,201436,,2012
,,,,,,2012
3-Mar,Eiga Doraemon Nobita to Kiseki no Shima ?Animaru Adobench?,Adventure,,0,,2012
,Raia Gemu Saisei,Action,,0,,2012
,,,,,,2012
6-Mar,Barbie in a Mermaid Tale 2,Adventure,,0,,2012
,Columbus Circle,,,0,,2012
,Deadheads,Comedy,,0,,2012
,High Road,Comedy,,0,,2012
,Strawberry Shortcake: Bloomin? Berry Garden,Adventure,,0,,2012
,Tooth Fairy 2,Comedy,,0,,2012
,,,,,,2012
8-Mar,The Ballad of Genesis and Lady Jaye,Documentary,,0,,2012
,,,,,,2012
9-Mar,Attenberg,Drama,,42582,,2012
,Bending the Rules,Drama,,0,,2012
