Release Date,Movie,Genre,Production Budget,Domestic Box Office to Date,Trailer,Year
,The Traveler,,,0,,2011
,,,,,,2011
28-Jan,Dil Toh Baccha Hai Ji,Comedy,,139770,,2011
,Die Fremde,Drama,,19631,,2011
,From Prada to Nada,Romantic Comedy,,3033623,Play,2011
,Ip Man: Legend of the Grand Master,Action,,205675,,2011
,Kaboom,Comedy,,118919,,2011
,The Mechanic,Action,42500000,29121498,Play,2011
,Rabia,Thriller/Suspense,,5594,,2011
,The Rite,Horror,37000000,33047633,Play,2011
,Scream of the Banshee,Horror,,0,,2011
,Seconds Apart,Horror,,0,,2011
February: 2011,,,,,,2011
1-Feb,Beverly Hills Chihuahua 2,,,0,,2011
,Everyday Black Man,Action,,0,,2011
,,,,,,2011
2-Feb,Into Eternity,Documentary,,55366,,2011
,,,,,,2011
3-Feb,Der Räuber,Drama,,83259,,2011
,Wo Zhi Nv Ren Xin,Comedy,,123527,,2011
,,,,,,2011
4-Feb,Cold Weather,Thriller/Suspense,,143800,Play,2011
,Dressed,Documentary,,0,,2011
,Kak ya provyol etim letom,Drama,,8733,,2011
,The Other Woman,Comedy,,25423,,2011
,The Roommate,Thriller/Suspense,16000000,37300107,Play,2011
,Sanctum,Adventure,30000000,23209310,Play,2011
,Waiting for Forever,Romantic Comedy,,25517,,2011
,,,,,,2011
8-Feb,Mickey Mouse Clubhouse: Minnie's Masquerade,Adventure,,0,,2011
,,,,,,2011
9-Feb,Justin Bieber: Never Say Never,Concert/Performance,13000000,73013910,Play,2011
,,,,,,2011
11-Feb,2011 Oscar Shorts,Multiple Genres,,1352152,,2011
,Blood Ties,Action,,2760,,2011
,Carancho,Drama,,85526,,2011
,Cedar Rapids,Comedy,,6861102,,2011
,Certifiably Jonathan,Comedy,,7826,,2011
,The Eagle,Action,,19490041,Play,2011
,The Sky Turns,Documentary,,0,,2011
,Gnomeo and Juliet,Comedy,36000000,99967670,Play,2011
,In Her Skin,Drama,,0,,2011
,Just Go With It,Romantic Comedy,80000000,103028109,Play,2011
,MOOZ-lum,Drama,,362239,,2011
,Orgasm Inc.,Documentary,,49001,,2011
,Patiala House,Drama,,644010,,2011
,Raymond Did It,Horror,,3632,,2011
,Shi,Drama,,356149,,2011
,Vidal Sassoon: The Movie,Documentary,,85974,,2011
,Wai dor lei ah yut ho,Horror,,0,,2011
,,,,,,2011
15-Feb,Game of Death,,,0,,2011
,Glorious 39,,,0,,2011
,,,,,,2011
16-Feb,Leonardo Live,Documentary,,0,,2011
,Zero Bridge,Drama,,10357,,2011
,,,,,,2011
17-Feb,Rise,Documentary,,0,,2011
,,,,,,2011
18-Feb,Big Mommas: Like Father: Like Son,Comedy,32000000,37915414,Play,2011
,Brotherhood,Thriller/Suspense,,19722,Play,2011
,The Chaperone,Comedy,,14400,,2011
,Even the Rain,,,558132,,2011
,I Am,Documentary,,1591034,Play,2011
,I am Number Four,Adventure,50000000,55100437,Play,2011
,Immigration Tango,Comedy,,24554,,2011
,The Last Lions,Documentary,,635325,,2011
,Now & Later,Drama,,1808,,2011
,Putty Hill,Drama,,48644,,2011
,Saat Khoon Maaf,,,274329,,2011
,Somos lo que hay,Horror,,0,,2011
,Sons of Perdition,Documentary,,5401,,2011
,Unknown,Thriller/Suspense,40000000,63686397,Play,2011
,Vanishing on Seventh Street,Thriller/Suspense,,22729,,2011
,,,,,,2011
22-Feb,All Star Superman,Action,,0,,2011
,Suske en Wiske: De Texas Rakkers,Adventure,,0,,2011
,,,,,,2011
23-Feb,Public Speaking,Documentary,,43184,,2011
,,,,,,2011
25-Feb,Arthur et la vengeance de Maltazard,Adventure,,347136,,2011
,Des Hommes et Des Dieux,Drama,5000000,3954651,Play,2011
,Drive Angry,Action,50000000,10721033,Play,2011
,The Grace Card,Drama,200000,2430735,Play,2011
,Hall Pass,Comedy,36000000,45060734,Play,2011
,Journal d'un curé de campagne,Drama,,46979,,2011
,Scheherazade: Tell Me a Story,Drama,,4726,,2011
,Tanu Weds Manu,Comedy,,240020,,2011
,,,,,,2011
26-Feb,Ultramarines,Action,,0,,2011
March: 2011,,,,,,2011
1-Mar,Dinosaurs: Giants of Patagonia,Documentary,,0,,2011
,Scooby-Doo! Curse of the Lake Monster,,,0,,2011
,S.W.A.T. Fire Fight,Action,,0,,2011
,The Ultimate Wave Tahiti,Documentary,,0,,2011
,,,,,,2011
2-Mar,Loong Boonmee raleuk chat,Drama,,184292,,2011
,,,,,,2011
4-Mar,The Adjustment Bureau,Thriller/Suspense,50200000,62495645,Play,2011
,Akmareul Boatda,Thriller/Suspense,,129210,,2011
,Beastly,Drama,17000000,27865571,Play,2011
,Bereavement,Horror,,24400,,2011
,Dear Lemon Lima,Comedy,,0,,2011
,Gatos viejos,Comedy,,0,,2011
,Happythankyoumoreplease,Romantic Comedy,,216110,,2011
,The Human Resources Manager,Drama,,64014,,2011
,Take Me Home Tonight,Comedy,,6928068,Play,2011
,Rango,Adventure,135000000,123257581,Play,2011
,Under the Boardwalk: The MONOPOLY Story,Documentary,,13080,,2011
,,,,,,2011
5-Mar,Carmen 3D,Drama,,0,,2011
,Red State,Horror,4000000,1065429,,2011
,,,,,,2011
11-Mar,3 Backyards,Drama,300000,39475,,2011
,Battle: Los Angeles,Action,70000000,83552429,Play,2011
,Bay Rong,Action,,27052,,2011
,Black Death,Horror,,22554,,2011
,Bonnie & Clyde vs. Dracula,Action,,25027,,2011
,Copie conforme,Drama,,1373975,,2011
,The Desert of Forbidden Art,Documentary,,0,,2011
,Elektra Luxx,Comedy,,11514,Play,2011
,Jane Eyre,Drama,,11242660,Play,2011
,Kill the Irishman,Drama,,1188194,,2011
,Making the Boys,Documentary,,33833,,2011
,Mars Needs Moms,Adventure,150000000,21392758,Play,2011
,Monogamy,Drama,,21527,,2011
,Red Riding Hood,Thriller/Suspense,42000000,37662162,Play,2011
,,,,,,2011
15-Mar,Barbie: A Fairy Secret,Adventure,,0,,2011
,A Shine of Rainbows,,6000000,0,,2011
,Step Off,,,0,,2011
,,,,,,2011
16-Mar,Bill Cunningham New York,Documentary,,1510026,,2011
,,,,,,2011
17-Mar,Lord of the Dance 3D,Musical,,0,,2011
,,,,,,2011
18-Mar,Alabama Moon,Adventure,,47009,,2011
,Choose,Horror,,0,,2011
,Cracks,Drama,,29683,,2011
,Dao Jian Xiao,Comedy,,47897,,2011
,Desert Flower,Drama,,44348,,2011
,Limitless,Thriller/Suspense,27000000,79249455,Play,2011
,The Lincoln Lawyer,Thriller/Suspense,40000000,58009200,Play,2011
,The Music Never Stopped,Drama,,258538,Play,2011
,Nostalgia de la luz,Documentary,,142285,,2011
,Paul,Comedy,40000000,37412945,Play,2011
,Tornado Alley,Documentary,,0,,2011
,Win Win,Drama,,10179275,Play,2011
,Winter in Wartime,Drama,5800000,542860,,2011
,,,,,,2011
22-Mar,Consinsual,Drama,,0,,2011
,Strawberry Shortcake: Putting on the Glitz,Adventure,,0,,2011
,,,,,,2011
23-Mar,My Perestroika,Documentary,,242706,,2011
,,,,,,2011
25-Mar,The 5th Quarter,Drama,6000000,408159,,2011
,Bal,Drama,,0,,2011
,Diary of a Wimpy Kid: Rodrick Rules,Comedy,18000000,52698535,Play,2011
,Illegal,Drama,,651,,2011
,Korkoro,Drama,,8242,,2011
,Mia et le Migou,Adventure,,16975,,2011
,Miral,Drama,,377014,,2011
,Peep World,Comedy,,14351,,2011
,Potiche,Comedy,,1618844,,2011
,Some Days are Better Than Others,Drama,,0,,2011
,Sucker Punch,Action,75000000,36392502,Play,2011
,White Irish Drinkers,Drama,,31056,,2011
,,,,,,2011
29-Mar,Heaven Ain't Hard to Find,Drama,,0,,2011
,,,,,,2011
30-Mar,Le quattro volte,Drama,,152530,,2011
April: 2011,,,,,,2011
1-Apr,An Affirmative Act,Drama,,0,,2011
,Cat Run,Comedy,,30100,Play,2011
,Circo,Documentary,,77466,,2011
,Fat: Sick & Nearly Dead,Documentary,,0,,2011
,Game,Action,,132035,,2011
,Haevnen,Drama,5500000,1008098,,2011
,Hop,Comedy,63000000,108085305,Play,2011
,Insidious,Horror,1500000,54009150,Play,2011
,Joueuse,Romantic Comedy,,478710,,2011
,The Last Godfather,Comedy,13400000,164247,,2011
,Rubber,Multiple Genres,,100370,,2011
,Source Code,Thriller/Suspense,32000000,54712227,Play,2011
,Super,Black Comedy,2500000,327716,,2011
,Trust,Drama,4000000,120016,,2011
,Two Gates of Sleep,Drama,,0,,2011
,Wrecked,Thriller/Suspense,,8020,,2011
,Wretches & Jabberers,Documentary,,0,,2011
,,,,,,2011
6-Apr,Blank City,Documentary,,116037,,2011
,,,,,,2011
8-Apr,Arthur,Comedy,,33035397,Play,2011
,American: The Bill Hicks Story,Documentary,,174796,,2011
,Born to be Wild 3D,Documentary,,23292517,Play,2011
,Ceremony,Romantic Comedy,,22270,,2011
,Exodus Fall,Drama,,0,,2011
,Hanna,Drama,30000000,40259119,Play,2011
,Henry's Crime,Comedy,,102541,,2011
,Meek's Cutoff,Drama,2000000,977772,,2011
,Meet Monica Velour,Comedy,,33042,Play,2011
,To Die Like a Man,Musical,,4029,,2011
,No Eres Tu: Soy Yo,Romantic Comedy,,1339911,,2011
,Soul Surfer,Drama,18000000,43853424,Play,2011
,Thank You,Romantic Comedy,,463540,,2011
,X,Thriller/Suspense,,0,,2011
,Your Highness,Comedy,,21596445,Play,2011
,,,,,,2011
9-Apr,Evil Bong 3 The Wrath Of Bong!,Comedy,,91260,,2011
,,,,,,2011
13-Apr,Un homme qui crie,Drama,,9862,,2011
,,,,,,2011
15-Apr,Armadillo,Documentary,,14566,,2011
,Atlas Shrugged: Part 1,Drama,,4752353,,2011
,The Conspirator,Drama,25000000,11538204,Play,2011
,Daydream Nation,Drama,,0,,2011
,La doppia ora,Thriller/Suspense,,1514942,,2011
,Dumbstruck,Documentary,,15378,,2011
,Fly Away,Drama,,0,,2011
,Frisson des Collines,Drama,,434589,,2011
,The Imperialists Are Still Alive!,Drama,,5874,,2011
,The First Beautiful Thing,Drama,,0,,2011
,La princesse de Montpensier,Drama,,352428,,2011
,Rio,Adventure,90000000,143619809,Play,2011
,Scream 4,Horror,,38180928,Play,2011
,Square Grouper,Documentary,,0,,2011
,The Tenant,Thriller/Suspense,,15003,,2011
,,,,,,2011
16-Apr,Meitantei Conan: Chinmoku no kuôtâ,,,0,,2011
,,,,,,2011
19-Apr,Sharpay's Fabulous Adventure,Comedy,,0,,2011
,Street Kings 2: Motor City,Action,,0,,2011
,,,,,,2011
22-Apr,African Cats,Documentary,,15428747,Play,2011
,Beautiful Darling,Documentary,,13400,,2011
,Cougar Hunting,Comedy,,0,,2011
,Deep Gold 3D,Action,,0,,2011
,Dharti,Drama,,317505,,2011
,Dum Maaro Dum,Drama,,564489,,2011
,POM Wonderful Presents: The Greatest Movie Ever Sold,Documentary,1800000,638476,,2011
,Jing mo fung wan: Chen Zhen,Action,,50433,Play,2011
,Madea's Big Happy Family,Drama,,53345287,Play,2011
,Meeting Spencer,Comedy,,0,,2011
,The Scenesters,Comedy,,0,,2011
,Stake Land,Horror,,33245,Play,2011
,Water for Elephants,Drama,,58709717,Play,2011
,When Harry Tries to Marry,Romantic Comedy,,38261,,2011
,Zhan Guo,,,68961,,2011
,Zokkomon,Adventure,,2815,,2011
,,,,,,2011
26-Apr,Knockout,Action,,0,,2011
,Sacrifice,,,27899,,2011
,,,,,,2011
27-Apr,The Arbor,Documentary,,21610,,2011
,,,,,,2011
29-Apr,Cave of Forgotten Dreams,Documentary,,5304920,,2011
,Dylan Dog: Dead of Night,Horror,20000000,1186538,Play,2011
,Earthwork,Drama,,0,,2011
,Exporting Raymond,Documentary,,87727,,2011
,Fast Five,Action,125000000,209837675,Play,2011
,Hoodwinked Too: Hood vs. Evil,Adventure,30000000,10143779,Play,2011
,Jûsan-nin no shikaku,Action,,802778,,2011
,Lebanon: PA,Drama,,48381,,2011
,Prom,Comedy,8000000,10130219,Play,2011
,Sympathy for Delicious,Comedy,,13826,,2011
,That's What I Am,Drama,,6400,,2011
May: 2011,,,,,,2011
3-May,My Own Love Song,Romantic Comedy,,0,,2011
,,,,,,2011
5-May,Midnight Movie: The Killer Cut,,,0,,2011
,,,,,,2011
6-May,The Bang Bang Club,Drama,,124791,,2011
,The Beaver,Comedy,21000000,970816,Play,2011
,La casa muda,Horror,,0,,2011
,Chalo Dilli,,,72486,,2011
,Co Dau Dai Chien,,,64572,,2011
,Forks Over Knives,Documentary,,27000,,2011
,Harvest,Drama,,24657,,2011
,Haunted 3-D,Horror,,0,,2011
,Hobo with a Shotgun,Action,3000000,703372,,2011
,I'm Not Jesus Mommy,Thriller/Suspense,,12620,,2011
,An Invisible Sign,Drama,,1279,,2011
,Jumping the Broom,Romantic Comedy,7000000,37295394,Play,2011
,Kyatapira,Drama,,4157,,2011
,Last Night,Drama,,112087,,2011
,Octubre,Comedy,,32127,,2011
,Passion Play,Drama,,3669,,2011
,The People vs. George Lucas,Documentary,,0,,2011
,Something Borrowed,Romantic Comedy,35000000,39046489,Play,2011
,There Be Dragons,Drama,36000000,1069334,Play,2011
,Thor,Action,150000000,181030624,Play,2011
,A Heavenly Vintage,Drama,,0,,2011
,Vito Bonafacci,Drama,,9217,,2011
,,,,,,2011
10-May,Flicka 2,,,0,,2011
,Hit List The,Thriller/Suspense,6000000,0,,2011
,,,,,,2011
11-May,Nanjing! Nanjing!,Drama,12000000,122558,,2011
,,,,,,2011
13-May,The Big Bang,Thriller/Suspense,,0,,2011
,The Bleeding House,Horror,,0,,2011
,Bridesmaids,Comedy,32500000,169106725,Play,2011
,Brother's Justice,Comedy,,0,,2011
,Cameraman: The Life and Work of Jack Cardiff,Documentary,,20840,,2011
,Decisions,Drama,,153280,,2011
,Everything Must Go,Drama,5000000,2712131,Play,2011
,The First Grader,Drama,,332306,,2011
,Go For It!,Drama,,180237,,2011
,Hesher,Drama,7000000,382946,,2011
,HEY: BOO: Harper Lee and To Kill a Mockingbird,Documentary,,31135,,2011
,The High Cost of Living,Drama,,0,,2011
,How to Live Forever,Documentary,,60630,,2011
,L'Amour Fou,Documentary,,312494,,2011
,Make Believe,Documentary,,0,,2011
,Neds,Drama,,0,,2011
,Priest,Horror,60000000,29136626,Play,2011
,Skateland,Drama,,19412,Play,2011
,Su Qi Er,Action,,80096,,2011
,Topp Twins Untouchable Girls,Documentary,,29200,,2011
,,,,,,2011
17-May,Elephant White,Action,,0,,2011
,Takedown,,,0,,2011
,Thor: Tales of Asgard,Adventure,,0,,2011
,,,,,,2011
18-May,Louder Than A Bomb,Documentary,,40362,,2011
,,,,,,2011
20-May,35 and Ticking,Romantic Comedy,,113804,,2011
,Bloodworth,Drama,,12971,,2011
,Cost of a Soul,Drama,,29000,Play,2011
,Florent: Queen of the Meat Market,Documentary,,6282,,2011
,Hard Breakers,Comedy,,0,,2011
,Lost Bohemia,Documentary,,23584,,2011
,Mei Li Ren Sheng,Drama,,66171,,2011
,Midnight in Paris,Romantic Comedy,30000000,56816662,,2011
,Pirates of the Caribbean: On Stranger Tides,Adventure,250000000,241063875,Play,2011
,Went the Day Well?,,,39523,,2011
,,,,,,2011
22-May,Milton Glaser: To Inform and Delight,Documentary,,0,,2011
,,,,,,2011
24-May,Forget Me Not,Horror,1300000,0,,2011
,Happiness is a Warm Blanket Charlie Brown,Comedy,,0,,2011
,Lemonade Mouth,Musical,,0,,2011
,Mickey Mouse Clubhouse: Mickey's Great Outdoors,Adventure,,0,,2011
,The Royal Wedding: William & Kate,Concert/Performance,,0,,2011
,,,,,,2011
25-May,Arjun The Warrior Prince,Action,,10017,,2011
,Marti: dupa craciun,Drama,,27813,,2011
,,,,,,2011
26-May,The Hangover Part II,Comedy,,254464305,Play,2011
,Kung Fu Panda 2,Adventure,150000000,165249063,Play,2011
,,,,,,2011
27-May,Jitsuroku rengo sekigun: Asama sanso e no michi,Drama,,2659,,2011
,Pianomania,Documentary,,49852,,2011
,Rompecabezas,Drama,,0,,2011
,Small Town Murder Songs,Thriller/Suspense,,31133,,2011
,Tied to a Chair,Drama,,0,,2011
,The Tree of Life,Drama,35000000,13305665,Play,2011
,Die Welle,Drama,7250000,0,,2011
,Wir sind die Nacht,Thriller/Suspense,,0,,2011
,,,,,,2011
31-May,Chicago Cubs: The Heart & Soul of Chicago,Documentary,,0,,2011
,Cross,Thriller/Suspense,,0,,2011
,Endure,Thriller/Suspense,,0,,2011
June: 2011,,,,,,2011
1-Jun,!Women: Art: Revolution,Documentary,,52681,,2011
,,,,,,2011
2-Jun,The Best and the Brightest,Comedy,,0,,2011
,,,,,,2011
3-Jun,Baiyin diguo,Drama,,40052,,2011
,Beautiful Boy,Drama,,77247,Play,2011
,Beginners,Drama,3200000,5790894,Play,2011
,Building Hope,Documentary,,4000,,2011
,Contractor's Routine,Thriller/Suspense,,0,,2011
,Les femmes du 6ème étage,Comedy,,733294,,2011
,Film Socialisme,Drama,,32977,,2011
,The Last Mountain,Documentary,,122959,,2011
,The Lion of Judah,Adventure,1500000,0,,2011
,Love: Wedding: Marriage,Comedy,,1926,,2011
,Mr. Nice,Black Comedy,,0,,2011
,A Proper Violence,Drama,,0,,2011
,The Putt Putt Syndorme,Drama,,0,,2011
,Redi,Comedy,,934951,,2011
,Rejoice and Shout,Documentary,,100237,,2011
,Submarine,Comedy,1900000,467602,,2011
,X-Men: First Class,Action,160000000,146408305,Play,2011
,,,,,,2011
7-Jun,3D Aquarium,Documentary,,0,,2011
,The Countess,Drama,,0,,2011
,Green Lantern: Emerald Knights,Adventure,,0,,2011
,Legends of Flight,Documentary,,0,,2011
,William Vincent,Drama,,0,,2011
,,,,,,2011
8-Jun,One Lucky Elephant,Documentary,,0,,2011
,,,,,,2011
9-Jun,Battle for Brooklyn,Documentary,,17981,,2011
,Le rayon vert,,,42606,,2011
,Super 8,Thriller/Suspense,50000000,127004179,Play,2011
,,,,,,2011
10-Jun,Bride Flight,Drama,,501360,,2011
,Judy Moody and the Not Bummer Summer,Adventure,,15013650,Play,2011
,Just Like Us,Documentary,,0,,2011
,Road to Nowhere,Thriller/Suspense,,40294,,2011
,The Trip,Comedy,,2030962,,2011
,Trolljegeren,Horror,,253444,,2011
,Viva Riva!,Thriller/Suspense,,61759,,2011
,,,,,,2011
14-Jun,Blood Night,Horror,,0,,2011
,Jackass 3.5,Comedy,,0,,2011
,Sweet Karma,Action,,0,,2011
,,,,,,2011
15-Jun,Gerry,Drama,,1844754,,2011
,,,,,,2011
17-Jun,Buck,Documentary,,4036175,,2011
,Farmageddon,Documentary,,53256,,2011
,Foo Fighters: Back and Forth,Concert/Performance,,0,,2011
,Green Lantern,Action,200000000,116601172,Play,2011
,The Art of Getting By,Romantic Comedy,,1430241,Play,2011
,JIG,Documentary,,183790,,2011
,Mr. Poppers's Penguins,Adventure,55000000,68224452,Play,2011
,Page One: Inside the New York Times,Documentary,,1067028,,2011
,R,Drama,,0,,2011
,Secuestrados,Thriller/Suspense,,0,,2011
,,,,,,2011
18-Jun,Toast,Drama,,0,,2011
,,,,,,2011
21-Jun,Bending All the Rules,Drama,,0,,2011
,Scenic Routes Around the World: Asia,Documentary,,0,,2011
,Scenic Routes Around the World: Europe,Documentary,,0,,2011
,Scenic Routes Around the World: South America,Documentary,,0,,2011
,Scenic Routes Around the World: The Pacific,Documentary,,0,,2011
,You Got Served: Beat The World,Drama,10000000,0,,2011
,,,,,,2011
22-Jun,If A Tree Falls: The Story of the Earth Liberation Front,Drama,,61794,,2011
,PASSIONE: A Musical Adventure,Documentary,,258222,,2011
,,,,,,2011
24-Jun,Año Bisiesto,Drama,,12561,,2011
,Bad Teacher,Comedy,19000000,100292856,Play,2011
,A Better Life,Drama,10000000,1759252,Play,2011
,Cars 2,Adventure,200000000,191450875,Play,2011
,Conan O'Brien Can't Stop,Documentary,,267965,,2011
,Double Dhamaal,Comedy,,543646,,2011
,General Orders No. 9,Documentary,,0,,2011
,Jiàn D?ng W?i Yè,Drama,,151305,,2011
,A Love Affair of Sorts,Drama,,0,,2011
,Le nom des gens,Comedy,4600000,514237,,2011
,Turtle: The Incredible Journey,Documentary,,391942,Play,2011
,Vincent will Meer,Drama,,24377,,2011
,,,,,,2011
25-Jun,In Our Name,Drama,,0,,2011
,,,,,,2011
28-Jun,2:13,Horror,,0,,2011
,Blue Crush 2,Drama,,0,,2011
,Guilty Hearts,,,0,,2011
,,,,,,2011
29-Jun,Aurora,Drama,,5558,,2011
,Transformers: Dark of the Moon,Action,195000000,352390543,Play,2011
July: 2011,,,,,,2011
1-Jul,Crime after Crime,Documentary,,60291,,2011
,Delhi Belly,Comedy,,1532594,,2011
,Larry Crowne,Romantic Comedy,30000000,35608245,Play,2011
,Love Etc.,Documentary,,43593,,2011
,Monte Carlo,Romantic Comedy,,23186769,Play,2011
,The Perfect Host,Thriller/Suspense,1000000,48764,,2011
,Terri,Comedy,,655802,,2011
,,,,,,2011
5-Jul,Bloodrayne: The Third Reich,,,0,,2011
,,,,,,2011
6-Jul,Rapt,Drama,,45759,,2011
,Le sens de l'humour,Comedy,,3179193,,2011
,Septien,Drama,,0,,2011
,,,,,,2011
8-Jul,Beats: Rhymes & Life: The Travels of a Tribe Called Quest,Documentary,,1200046,,2011
,La belle endormie,Drama,,28791,,2011
,The Chameleon,Thriller/Suspense,,0,,2011
,Chillar Party,Comedy,,6330,,2011
,Fading of the Cries,Multiple Genres,,2300,,2011
,Gekijouban Trigun: Badlands Rumble,Action,,62027,,2011
,Horrible Bosses,Comedy,35000000,117538559,Play,2011
,Ironclad,Action,,0,,2011
,The Ledge,Drama,,9216,,2011
,Project Nim,Documentary,,411184,Play,2011
,Romeo and Juliet in Yiddish,Drama,,0,,2011
,Sholem Aleichem: Laughing in the Darkness,Documentary,,1131261,,2011
,The Ward,Horror,,7760,,2011
,Zookeeper,Romantic Comedy,80000000,80360866,Play,2011
,,,,,,2011
9-Jul,Third Star,Comedy,,0,,2011
,,,,,,2011
12-Jul,Owned,Action,,0,,2011
,,,,,,2011
13-Jul,Fase 7,Thriller/Suspense,,0,,2011
,,,,,,2011
15-Jul,Daylight,Thriller/Suspense,,4171,,2011
,Girlfriend,Drama,,0,,2011
,Harry Potter and the Deathly Hallows: Part II,Adventure,125000000,381011219,Play,2011
,Life: Above All,Drama,,134078,,2011
,Lucky,Comedy,,0,,2011
,Ranchero,Drama,,23449,,2011
,Salvation Boulevard,Comedy,5500000,28468,,2011
,The Shrine,Horror,,0,,2011
,Snow Flower and the Secret Fan,Drama,6000000,1348205,Play,2011
,Tabloid!,Documentary,,696921,,2011
,The Tree,Drama,,71158,,2011
,The Undefeated,Documentary,,100085,,2011
,Winnie the Pooh,Adventure,30000000,26692846,Play,2011
,Zindagi Na Milegi Dobara,Drama,,3103656,,2011
,,,,,,2011
19-Jul,Best of Travel South Africa,Documentary,,0,,2011
,House of the Rising Sun,Drama,,0,,2011
,Tekken,Action,,0,,2011
,,,,,,2011
20-Jul,4 aventures de Reinette et Mirabelle,Comedy,,20589,,2011
,Die Frau mit den 5 Elefanten,Documentary,,9256,,2011
,,,,,,2011
22-Jul,Another Earth,Drama,175000,1321194,Play,2011
,Autoerotic,Drama,,0,,2011
,Captain America: The First Avenger,Action,140000000,176654505,Play,2011
,Elle s'appelait Sarah,Drama,14500000,7691700,,2011
,Friends with Benefits,Romantic Comedy,,55802754,Play,2011
,A Little Help,Comedy,,96868,,2011
,Myth of the American Sleepover,Drama,,41045,Play,2011
,Singham,Drama,,350864,,2011
,,,,,,2011
23-Jul,A Boy Called Dad,Drama,,0,,2011
,,,,,,2011
24-Jul,Life in a Day,Documentary,,252788,,2011
,,,,,,2011
27-Jul,El Bulli: Cooking in Progress,Documentary,,237181,,2011
,,,,,,2011
29-Jul,Assassination Games,Action,,0,,2011
,Attack the Block,Action,13000000,1024175,,2011
,A bout portant,Thriller/Suspense,,708215,,2011
,Cowboys and Aliens,Action,163000000,100240551,Play,2011
,Crazy: Stupid: Love,Comedy,50000000,84351197,Play,2011
,The Devil's Double,Drama,19100000,1361512,Play,2011
,The Future,Drama,1000000,568662,Play,2011
,Golf in the Kingdom,Drama,,0,,2011
,Good Neighbors,Thriller/Suspense,,7072,,2011
,The Guard,Comedy,6000000,5359774,,2011
,The Harvest/La Cosecha,Documentary,,3709,,2011
,The Interrupters,Documentary,,236957,,2011
,Jihne Mera Dil Luteya,Romantic Comedy,,464840,,2011
,Sleep Furiously,Documentary,,0,,2011
,The Smurfs,Adventure,110000000,142614158,Play,2011
,Spiderhole,Horror,,0,,2011
,Starbuck,Comedy,,3790059,,2011
August: 2011,,,,,,2011
2-Aug,Jesse Stone: Innocents Lost,,,0,,2011
,The Pit and the Pendulum,Horror,,0,,2011
,Quarantine 2: Terminal,Horror,,0,,2011
,Yellowbrickroad,Horror,,0,,2011
,,,,,,2011
3-Aug,Freedom,Documentary,,0,,2011
,,,,,,2011
4-Aug,7 gwanggu,Multiple Genres,,0,,2011
,,,,,,2011
5-Aug,Bellflower,Action,,168226,,2011
,The Change-Up,Comedy,52000000,37081475,Play,2011
,Gun Hill Road,Drama,,148994,Play,2011
,Magic Trip,Documentary,,154521,,2011
,Mysteries of Lisbon,Thriller/Suspense,,110507,,2011
,The Perfect Age Of Rock 'N' Roll,Drama,,0,,2011
,Protektor,Documentary,,2968,,2011
,Rise of the Planet of the Apes,Adventure,93000000,176760185,Play,2011
,Cold Fish,Horror,,0,,2011
,The Whistleblower,Drama,,1120914,,2011
,,,,,,2011
9-Aug,Tactical Force,Action,,0,,2011
,,,,,,2011
10-Aug,Choi-jong-byeong-gi Hwal,Action,,0,,2011
,Glee: The 3D Concert Movie,Concert/Performance,9000000,11862398,Play,2011
,The Help,Drama,25000000,169705587,Play,2011
,Over Your Cities Grass Will Grow,Documentary,,49976,,2011
,,,,,,2011
11-Aug,Shi Lian 33 Tian,Romantic Comedy,,0,,2011
,,,,,,2011
12-Aug,30 Minutes or Less,Comedy,28000000,37053924,Play,2011
,3D Sex and Zen: Extreme Ecstasy,Comedy,,152365,,2011
,Aarakshan,Drama,,651096,,2011
,CornerStore,Comedy,,40508,,2011
,Final Destination 5,Horror,40000000,42587643,Play,2011
,Littlerock,Drama,,17309,,2011
,Senna,Documentary,,1612430,,2011
,Sur le rythme,,,833180,,2011
,,,,,,2011
16-Aug,Marley and Me: The Puppy Years,,,0,,2011
,,,,,,2011
17-Aug,Atrocious,Horror,,0,,2011
,,,,,,2011
19-Aug,5 Days of War,Drama,12000000,17479,,2011
,Amigo,Drama,1500000,184705,,2011
,The Last Circus,Black Comedy,,40548,,2011
,Conan the Barbarian 3D,Action,90000000,21295021,Play,2011
,Flypaper,Comedy,,5043,,2011
,Fright Night,Horror,30000000,18298649,Play,2011
,Griff the Invisible,Romantic Comedy,,20778,,2011
,A Horrible Way To Die,Horror,,0,,2011
,The Missing Piece: The Truth About Vincenzo Peruggia and the Unthinkable Theft of the Mona Lisa,Documentary,,0,,2011
,Na xie nian: wo men yi qi zhui de nu hai,Romantic Comedy,,0,,2011
,Mozart's Sister,Drama,4500000,707885,,2011
,One Day,Drama,15000000,13843771,Play,2011
,Programming the Nation?,Documentary,,0,,2011
,The Smell of Success,,,0,,2011
,Spy Kids: All the Time in the World,Adventure,27000000,38536376,Play,2011
,The Worst Movie EVER!,Comedy,,21010,,2011
,Wu Jia Zhi Bao,,,0,,2011
,,,,,,2011
20-Aug,Usagi Doroppu,,,0,,2011
,,,,,,2011
23-Aug,Blitz,Thriller/Suspense,,0,,2011
,Higher Ground,Drama,1800000,841056,,2011
,House Of Fallen,Drama,,0,,2011
,Phineas & Ferb The Movie: Across the 2nd Dimension,Comedy,,0,,2011
,Tom and Jerry & the Wizard of Oz,Comedy,,0,,2011
,,,,,,2011
