"","ReleaseDate","Movie","Genre","ProductionBudget","DomesticBoxOfficeToDate","Year","NetflixStars","OnNetflix","Awards","Nominations","BestPicture","RottenTomatosCriticsScore","RottenTomatosAudienceScore","BigGenre","Oscar","Blockbuster","CalDate"
"39","18-May","What to Expect When You're Expecting","Romantic Comedy",37500000,41152203,2012,3.7,"On Netflix",0,0,0,22,48,"Comedy"," Nominated"," Under 100M",5.580645161
"40","25-May","Chernobyl Diaries","Horror",1000000,18119640,2012,NA,"Not on Netflix",0,0,0,19,28,"Horror"," Nominated"," Under 100M",5.806451613
"41","25-May","Men in Black 3","Adventure",215000000,179020854,2012,NA,"Not on Netflix",0,0,0,70,71,"Adventure"," Nominated"," Over 100M",5.806451613
"42","25-May","Moonrise Kingdom","Drama",16000000,45512466,2012,NA,"Not on Netflix",0,0,0,94,86,"Drama"," Nominated"," Under 100M",5.806451613
"43","1-Jun","Snow White and the Huntsman","Adventure",170000000,155136755,2012,NA,"Not on Netflix",0,0,0,48,52,"Adventure"," Nominated"," Over 100M",6.032258065
"44","8-Jun","Madagascar 3: Europe's Most Wanted","Adventure",145000000,216391482,2012,NA,"Not on Netflix",0,0,0,79,73,"Adventure"," Nominated"," Over 100M",6.258064516
"45","8-Jun","Safety Not Guaranteed","Comedy",750000,4010957,2012,3.9,"On Netflix",0,0,0,91,80,"Comedy"," Nominated"," Under 100M",6.258064516
"46","15-Jun","That's My Boy","Comedy",67500000,36931089,2012,NA,"Not on Netflix",0,0,0,20,53,"Comedy"," Nominated"," Under 100M",6.483870968
"47","15-Jun","Your Sister's Sister","Drama",120000,1597486,2012,NA,"Not on Netflix",0,0,0,83,66,"Drama"," Nominated"," Under 100M",6.483870968
"48","22-Jun","Abraham Lincoln: Vampire Hunter","Horror",67500000,37519139,2012,NA,"Not on Netflix",0,0,0,35,51,"Horror"," Nominated"," Under 100M",6.709677419
"49","22-Jun","Brave","Adventure",185000000,237282182,2012,NA,"Not on Netflix",1,1,0,78,85,"Adventure"," Not Nominated"," Over 100M",6.709677419
"50","22-Jun","To Rome with Love","Romantic Comedy",21500000,16684352,2012,NA,"Not on Netflix",0,0,0,43,41,"Comedy"," Nominated"," Under 100M",6.709677419
"51","27-Jun","Beasts of the Southern Wild","Drama",1800000,12795746,2012,NA,"Not on Netflix",0,0,0,86,76,"Drama"," Nominated"," Under 100M",6.870967742
"52","29-Jun","Ted","Comedy",50000000,218665740,2012,NA,"Not on Netflix",0,0,0,68,74,"Comedy"," Nominated"," Over 100M",6.935483871
"53","29-Jun","People Like Us","Drama",16000000,12431792,2012,NA,"Not on Netflix",0,0,0,55,63,"Drama"," Nominated"," Under 100M",6.935483871
"54","3-Jul","The Amazing Spider-Man","Adventure",220000000,262030663,2012,NA,"Not on Netflix",0,0,0,73,78,"Adventure"," Nominated"," Over 100M",7.096774194
"55","13-Jul","Ice Age: Continental Drift","Adventure",95000000,161321843,2012,NA,"Not on Netflix",0,0,0,37,63,"Adventure"," Nominated"," Over 100M",7.419354839
"56","20-Jul","The Dark Knight Rises","Action",275000000,448139099,2012,NA,"Not on Netflix",0,0,0,88,90,"Action"," Nominated"," Over 100M",7.64516129
"57","27-Jul","The Watch","Comedy",55000000,34353000,2012,NA,"Not on Netflix",0,0,0,17,40,"Comedy"," Nominated"," Under 100M",7.870967742
"58","27-Jul","Step Up Revolution","Drama",33000000,35074677,2012,NA,"Not on Netflix",0,0,0,42,69,"Drama"," Nominated"," Under 100M",7.870967742
"59","3-Aug","Diary of a Wimpy Kid: Dog Days","Comedy",22000000,49008662,2012,NA,"Not on Netflix",0,0,0,51,64,"Comedy"," Nominated"," Under 100M",8.096774194
"60","3-Aug","Total Recall","Action",125000000,58877969,2012,NA,"Not on Netflix",0,0,0,30,47,"Action"," Nominated"," Under 100M",8.096774194
"61","17-Aug","The Expendables 2","Action",100000000,85028192,2012,3.9,"On Netflix",0,0,0,65,67,"Action"," Nominated"," Under 100M",8.548387097
"62","17-Aug","ParaNorman","Comedy",60000000,56003051,2012,3.8,"On Netflix",0,0,0,87,72,"Comedy"," Nominated"," Under 100M",8.548387097
"63","17-Aug","Sparkle","Drama",10000000,24397469,2012,NA,"Not on Netflix",0,0,0,57,65,"Drama"," Nominated"," Under 100M",8.548387097
"64","24-Aug","The Apparition","Horror",17000000,4936819,2012,NA,"Not on Netflix",0,0,0,4,25,"Horror"," Nominated"," Under 100M",8.774193548
"65","24-Aug","Premium Rush","Thriller/Suspense",35000000,20275446,2012,NA,"Not on Netflix",0,0,0,76,60,"Thriller/Suspense"," Nominated"," Under 100M",8.774193548
"66","29-Aug","The Oogieloves in the BIG Balloon Adventure","Adventure",20000000,1065907,2012,2.8,"On Netflix",0,0,0,27,69,"Adventure"," Nominated"," Under 100M",8.935483871
"67","7-Sep","The Cold Light of Day","Thriller/Suspense",20000000,3763583,2012,NA,"Not on Netflix",0,0,0,5,29,"Thriller/Suspense"," Nominated"," Under 100M",9.225806452
"68","7-Sep","The Inbetweeners","Comedy",5700000,35955,2012,4,"On Netflix",0,0,0,54,71,"Comedy"," Nominated"," Under 100M",9.225806452
"69","7-Sep","The Words","Drama",6000000,11494838,2012,NA,"Not on Netflix",0,0,0,22,50,"Drama"," Nominated"," Under 100M",9.225806452
"70","14-Sep","The Master","Drama",37500000,16247159,2012,NA,"Not on Netflix",0,0,0,85,60,"Drama"," Nominated"," Under 100M",9.451612903
"71","21-Sep","Dredd","Action",45000000,13414714,2012,3.8,"On Netflix",0,0,0,78,72,"Action"," Nominated"," Under 100M",9.677419355
"72","21-Sep","End of Watch","Thriller/Suspense",15000000,41003371,2012,4.1,"On Netflix",0,0,0,85,86,"Thriller/Suspense"," Nominated"," Under 100M",9.677419355
"73","21-Sep","The Perks of Being a Wallflower","Drama",13000000,17742948,2012,NA,"Not on Netflix",0,0,0,85,89,"Drama"," Nominated"," Under 100M",9.677419355
"74","21-Sep","Trouble with the Curve","Drama",60000000,35763137,2012,NA,"Not on Netflix",0,0,0,50,67,"Drama"," Nominated"," Under 100M",9.677419355
"75","28-Sep","Hotel Transylvania","Comedy",85000000,148313048,2012,NA,"Not on Netflix",0,0,0,45,72,"Comedy"," Nominated"," Over 100M",9.903225806
"76","28-Sep","Won't Back Down","Drama",19000000,5310554,2012,NA,"Not on Netflix",0,0,0,33,62,"Drama"," Nominated"," Under 100M",9.903225806
"77","28-Sep","Pitch Perfect","Comedy",17000000,65001093,2012,NA,"Not on Netflix",0,0,0,81,83,"Comedy"," Nominated"," Under 100M",9.903225806
"78","5-Oct","Frankenweenie","Comedy",39000000,35287788,2012,NA,"Not on Netflix",0,0,0,87,70,"Comedy"," Nominated"," Under 100M",10.16129032
"79","12-Oct","Argo","Thriller/Suspense",44500000,136025503,2012,NA,"Not on Netflix",3,7,1,96,90,"Thriller/Suspense"," Not Nominated"," Over 100M",10.38709677
"80","12-Oct","Here Comes the Boom","Comedy",42000000,45290318,2012,NA,"Not on Netflix",0,0,0,38,67,"Comedy"," Nominated"," Under 100M",10.38709677
"81","12-Oct","Seven Psychopaths","Comedy",13500000,15024049,2012,NA,"Not on Netflix",0,0,0,83,71,"Comedy"," Nominated"," Under 100M",10.38709677
"82","12-Oct","Sinister","Thriller/Suspense",3000000,48086903,2012,NA,"Not on Netflix",0,0,0,63,61,"Thriller/Suspense"," Nominated"," Under 100M",10.38709677
"83","19-Oct","Paranormal Activity 4","Horror",5000000,53900335,2012,3.4,"On Netflix",0,0,0,24,35,"Horror"," Nominated"," Under 100M",10.61290323
"84","26-Oct","Cloud Atlas","Drama",102000000,27108272,2012,NA,"Not on Netflix",0,0,0,66,66,"Drama"," Nominated"," Under 100M",10.83870968
"85","26-Oct","Chasing Mavericks","Drama",20000000,6002756,2012,NA,"Not on Netflix",0,0,0,31,71,"Drama"," Nominated"," Under 100M",10.83870968
"86","26-Oct","Silent Hill: Revelation 3D","Horror",20000000,17530219,2012,NA,"Not on Netflix",0,0,0,5,36,"Horror"," Nominated"," Under 100M",10.83870968
"87","2-Nov","Flight","Drama",31000000,93772375,2012,3.9,"On Netflix",0,0,0,78,75,"Drama"," Nominated"," Under 100M",11.06451613
"88","2-Nov","The Man with the Iron Fists","Action",15000000,15634090,2012,NA,"Not on Netflix",0,0,0,49,41,"Action"," Nominated"," Under 100M",11.06451613
"89","2-Nov","Vamps","Romantic Comedy",16000000,3361,2012,NA,"Not on Netflix",0,0,0,50,33,"Comedy"," Nominated"," Under 100M",11.06451613
"90","2-Nov","Wreck-It Ralph","Adventure",165000000,189412677,2012,NA,"Not on Netflix",0,0,0,86,86,"Adventure"," Nominated"," Over 100M",11.06451613
"91","8-Nov","Skyfall","Action",200000000,304360277,2012,4.1,"On Netflix",2,5,0,92,86,"Action"," Not Nominated"," Over 100M",11.25806452
"92","9-Nov","Lincoln","Drama",65000000,182207973,2012,NA,"Not on Netflix",2,12,0,90,81,"Drama"," Not Nominated"," Over 100M",11.29032258
"93","16-Nov","Anna Karenina","Drama",49000000,12816367,2012,NA,"Not on Netflix",1,4,0,63,50,"Drama"," Not Nominated"," Under 100M",11.51612903
"94","16-Nov","Silver Linings Playbook","Drama",21000000,132092958,2012,NA,"Not on Netflix",1,8,0,92,86,"Drama"," Not Nominated"," Over 100M",11.51612903
"95","16-Nov","The Twilight Saga: Breaking Dawn: Part 2","Drama",136200000,292324737,2012,NA,"Not on Netflix",0,0,0,48,71,"Drama"," Nominated"," Over 100M",11.51612903
"96","21-Nov","Life of Pi","Drama",120000000,124987022,2012,NA,"Not on Netflix",4,11,0,87,85,"Drama"," Not Nominated"," Over 100M",11.67741935
"97","21-Nov","Red Dawn","Action",65000000,44806783,2012,3.8,"On Netflix",0,0,0,12,52,"Action"," Nominated"," Under 100M",11.67741935
"98","21-Nov","Rise of the Guardians","Adventure",145000000,103412758,2012,NA,"Not on Netflix",0,0,0,74,81,"Adventure"," Nominated"," Over 100M",11.67741935
"99","30-Nov","Killing Them Softly","Thriller/Suspense",15000000,14945541,2012,NA,"Not on Netflix",0,0,0,75,44,"Thriller/Suspense"," Nominated"," Under 100M",11.96774194
"100","14-Dec","The Hobbit: An Unexpected Journey","Adventure",250000000,303003568,2012,NA,"Not on Netflix",0,0,0,64,83,"Adventure"," Nominated"," Over 100M",12.4516129
"101","19-Dec","Amour","Drama",9700000,6738954,2012,NA,"Not on Netflix",1,5,0,93,82,"Drama"," Not Nominated"," Under 100M",12.61290323
"102","19-Dec","The Guilt Trip","Comedy",40000000,37134215,2012,3.5,"On Netflix",0,0,0,38,40,"Comedy"," Nominated"," Under 100M",12.61290323
"103","19-Dec","Zero Dark Thirty","Drama",52500000,95720716,2012,NA,"Not on Netflix",1,5,0,93,80,"Drama"," Not Nominated"," Under 100M",12.61290323
"104","21-Dec","Cirque du Soleil: Worlds Away","Drama",25000000,12512862,2012,4,"On Netflix",0,0,0,47,58,"Drama"," Nominated"," Under 100M",12.67741935
"105","21-Dec","The Impossible","Drama",40000000,19019882,2012,NA,"Not on Netflix",0,0,0,81,85,"Drama"," Nominated"," Under 100M",12.67741935
