"","ReleaseDate","Movie","Genre","ProductionBudget","DomesticBoxOfficeToDate","Year","NetflixStars","OnNetflix","Awards","Nominations","BestPicture","RottenTomatosCriticsScore","RottenTomatosAudienceScore","BigGenre","Oscar","Blockbuster","CalDate"
"169","20-May","Midnight in Paris","Romantic Comedy",30000000,56816662,2011,NA,"Not on Netflix",1,4,0,93,82,"Comedy"," Not Nominated"," Under 100M",5.64516129
"170","20-May","Pirates of the Caribbean: On Stranger Tides","Adventure",250000000,241063875,2011,NA,"Not on Netflix",0,0,0,33,55,"Adventure"," Nominated"," Over 100M",5.64516129
"171","26-May","Kung Fu Panda 2","Adventure",150000000,165249063,2011,NA,"Not on Netflix",0,0,0,81,74,"Adventure"," Nominated"," Over 100M",5.838709677
"172","27-May","The Tree of Life","Drama",35000000,13305665,2011,NA,"Not on Netflix",0,0,0,84,60,"Drama"," Nominated"," Under 100M",5.870967742
"173","3-Jun","Beginners","Drama",3200000,5790894,2011,NA,"Not on Netflix",1,1,0,84,77,"Drama"," Not Nominated"," Under 100M",6.096774194
"174","3-Jun","Submarine","Comedy",1900000,467602,2011,3.8,"On Netflix",0,0,0,87,81,"Comedy"," Nominated"," Under 100M",6.096774194
"175","3-Jun","X-Men: First Class","Action",160000000,146408305,2011,NA,"Not on Netflix",0,0,0,87,87,"Action"," Nominated"," Over 100M",6.096774194
"176","9-Jun","Super 8","Thriller/Suspense",50000000,127004179,2011,NA,"Not on Netflix",0,0,0,82,75,"Thriller/Suspense"," Nominated"," Over 100M",6.290322581
"177","17-Jun","Green Lantern","Action",200000000,116601172,2011,NA,"Not on Netflix",0,0,0,26,46,"Action"," Nominated"," Over 100M",6.548387097
"178","17-Jun","Mr. Poppers's Penguins","Adventure",55000000,68224452,2011,NA,"Not on Netflix",0,0,0,NA,NA,"Adventure"," Nominated"," Under 100M",6.548387097
"179","24-Jun","Bad Teacher","Comedy",19000000,100292856,2011,NA,"Not on Netflix",0,0,0,44,36,"Comedy"," Nominated"," Over 100M",6.774193548
"180","24-Jun","A Better Life","Drama",10000000,1759252,2011,NA,"Not on Netflix",0,0,0,84,79,"Drama"," Nominated"," Under 100M",6.774193548
"181","24-Jun","Cars 2","Adventure",200000000,191450875,2011,NA,"Not on Netflix",0,0,0,39,51,"Adventure"," Nominated"," Over 100M",6.774193548
"182","24-Jun","Le nom des gens","Comedy",4600000,514237,2011,NA,"Not on Netflix",0,0,0,NA,NA,"Comedy"," Nominated"," Under 100M",6.774193548
"183","29-Jun","Transformers: Dark of the Moon","Action",195000000,352390543,2011,NA,"Not on Netflix",0,0,0,36,56,"Action"," Nominated"," Over 100M",6.935483871
"184","1-Jul","Larry Crowne","Romantic Comedy",30000000,35608245,2011,NA,"Not on Netflix",0,0,0,35,41,"Comedy"," Nominated"," Under 100M",7.032258065
"185","1-Jul","The Perfect Host","Thriller/Suspense",1000000,48764,2011,3.6,"On Netflix",0,0,0,44,55,"Thriller/Suspense"," Nominated"," Under 100M",7.032258065
"186","8-Jul","Horrible Bosses","Comedy",35000000,117538559,2011,NA,"Not on Netflix",0,0,0,69,70,"Comedy"," Nominated"," Over 100M",7.258064516
"187","8-Jul","Zookeeper","Romantic Comedy",80000000,80360866,2011,NA,"Not on Netflix",0,0,0,14,42,"Comedy"," Nominated"," Under 100M",7.258064516
"188","15-Jul","Harry Potter and the Deathly Hallows: Part II","Adventure",125000000,381011219,2011,NA,"Not on Netflix",0,0,0,96,89,"Adventure"," Nominated"," Over 100M",7.483870968
"189","15-Jul","Salvation Boulevard","Comedy",5500000,28468,2011,NA,"Not on Netflix",0,0,0,21,23,"Comedy"," Nominated"," Under 100M",7.483870968
"190","15-Jul","Snow Flower and the Secret Fan","Drama",6000000,1348205,2011,NA,"Not on Netflix",0,0,0,21,48,"Drama"," Nominated"," Under 100M",7.483870968
"191","15-Jul","Winnie the Pooh","Adventure",30000000,26692846,2011,NA,"Not on Netflix",0,0,0,90,80,"Adventure"," Nominated"," Under 100M",7.483870968
"192","22-Jul","Another Earth","Drama",175000,1321194,2011,NA,"Not on Netflix",0,0,0,63,66,"Drama"," Nominated"," Under 100M",7.709677419
"193","22-Jul","Captain America: The First Avenger","Action",140000000,176654505,2011,NA,"Not on Netflix",0,0,0,79,73,"Action"," Nominated"," Over 100M",7.709677419
"194","22-Jul","Elle s'appelait Sarah","Drama",14500000,7691700,2011,NA,"Not on Netflix",0,0,0,73,83,"Drama"," Nominated"," Under 100M",7.709677419
"195","29-Jul","Attack the Block","Action",13000000,1024175,2011,NA,"Not on Netflix",0,0,0,90,74,"Action"," Nominated"," Under 100M",7.935483871
"196","29-Jul","Cowboys and Aliens","Action",163000000,100240551,2011,NA,"Not on Netflix",0,0,0,44,44,"Action"," Nominated"," Over 100M",7.935483871
"197","29-Jul","Crazy: Stupid: Love","Comedy",50000000,84351197,2011,NA,"Not on Netflix",0,0,0,78,77,"Comedy"," Nominated"," Under 100M",7.935483871
"198","29-Jul","The Devil's Double","Drama",19100000,1361512,2011,NA,"Not on Netflix",0,0,0,52,65,"Drama"," Nominated"," Under 100M",7.935483871
"199","29-Jul","The Future","Drama",1000000,568662,2011,NA,"Not on Netflix",0,0,0,71,55,"Drama"," Nominated"," Under 100M",7.935483871
"200","29-Jul","The Guard","Comedy",6000000,5359774,2011,NA,"Not on Netflix",0,0,0,95,81,"Comedy"," Nominated"," Under 100M",7.935483871
"201","29-Jul","The Smurfs","Adventure",110000000,142614158,2011,NA,"Not on Netflix",0,0,0,22,44,"Adventure"," Nominated"," Over 100M",7.935483871
"202","5-Aug","The Change-Up","Comedy",52000000,37081475,2011,NA,"Not on Netflix",0,0,0,25,48,"Comedy"," Nominated"," Under 100M",8.161290323
"203","5-Aug","Rise of the Planet of the Apes","Adventure",93000000,176760185,2011,NA,"Not on Netflix",0,0,0,-1,98,"Adventure"," Nominated"," Over 100M",8.161290323
"204","10-Aug","The Help","Drama",25000000,169705587,2011,NA,"Not on Netflix",1,4,0,76,89,"Drama"," Not Nominated"," Over 100M",8.322580645
"205","12-Aug","30 Minutes or Less","Comedy",28000000,37053924,2011,NA,"Not on Netflix",0,0,0,45,41,"Comedy"," Nominated"," Under 100M",8.387096774
"206","12-Aug","Final Destination 5","Horror",40000000,42587643,2011,NA,"Not on Netflix",0,0,0,61,52,"Horror"," Nominated"," Under 100M",8.387096774
"207","19-Aug","5 Days of War","Drama",12000000,17479,2011,NA,"Not on Netflix",0,0,0,33,37,"Drama"," Nominated"," Under 100M",8.612903226
"208","19-Aug","Amigo","Drama",1500000,184705,2011,NA,"Not on Netflix",0,0,0,62,55,"Drama"," Nominated"," Under 100M",8.612903226
"209","19-Aug","Conan the Barbarian 3D","Action",90000000,21295021,2011,NA,"Not on Netflix",0,0,0,24,30,"Action"," Nominated"," Under 100M",8.612903226
"210","19-Aug","Fright Night","Horror",30000000,18298649,2011,3.5,"On Netflix",0,0,0,72,59,"Horror"," Nominated"," Under 100M",8.612903226
"211","19-Aug","Mozart's Sister","Drama",4500000,707885,2011,NA,"Not on Netflix",0,0,0,75,55,"Drama"," Nominated"," Under 100M",8.612903226
"212","19-Aug","One Day","Drama",15000000,13843771,2011,NA,"Not on Netflix",0,0,0,36,49,"Drama"," Nominated"," Under 100M",8.612903226
"213","19-Aug","Spy Kids: All the Time in the World","Adventure",27000000,38536376,2011,3.8,"On Netflix",0,0,0,22,39,"Adventure"," Nominated"," Under 100M",8.612903226
"214","23-Aug","Higher Ground","Drama",1800000,841056,2011,NA,"Not on Netflix",0,0,0,81,63,"Drama"," Nominated"," Under 100M",8.741935484
"215","26-Aug","Brighton Rock","Drama",11000000,229653,2011,2.7,"On Netflix",0,0,0,51,34,"Drama"," Nominated"," Under 100M",8.838709677
"216","26-Aug","Circumstance","Drama",900000,454121,2011,NA,"Not on Netflix",0,0,0,86,68,"Drama"," Nominated"," Under 100M",8.838709677
"217","26-Aug","Colombiana","Thriller/Suspense",40000000,36665854,2011,NA,"Not on Netflix",0,0,0,27,67,"Thriller/Suspense"," Nominated"," Under 100M",8.838709677
"218","26-Aug","Don't Be Afraid of the Dark","Horror",25000000,24046682,2011,NA,"Not on Netflix",0,0,0,58,34,"Horror"," Nominated"," Under 100M",8.838709677
"219","26-Aug","Our Idiot Brother","Comedy",5000000,24814830,2011,3.6,"On Netflix",0,0,0,67,52,"Comedy"," Nominated"," Under 100M",8.838709677
"220","26-Aug","Redemption Road","Drama",2300000,29384,2011,3.7,"On Netflix",0,0,0,57,59,"Drama"," Nominated"," Under 100M",8.838709677
"221","31-Aug","The Debt","Thriller/Suspense",20000000,31177548,2011,NA,"Not on Netflix",0,0,0,77,66,"Thriller/Suspense"," Nominated"," Under 100M",9
"222","2-Sep","Apollo 18","Thriller/Suspense",5000000,17686929,2011,3,"On Netflix",0,0,0,24,23,"Thriller/Suspense"," Nominated"," Under 100M",9.064516129
"223","2-Sep","Salvando al Soldado Perez","Action",4500000,1400726,2011,NA,"Not on Netflix",0,0,0,-1,69,"Action"," Nominated"," Under 100M",9.064516129
"224","2-Sep","Shark Night 3D","Horror",25000000,18877153,2011,NA,"Not on Netflix",0,0,0,17,22,"Horror"," Nominated"," Under 100M",9.064516129
"225","9-Sep","Contagion","Thriller/Suspense",60000000,75658097,2011,NA,"Not on Netflix",0,0,0,84,62,"Thriller/Suspense"," Nominated"," Under 100M",9.290322581
"226","9-Sep","Tanner Hall","Drama",3000000,5073,2011,NA,"Not on Netflix",0,0,0,12,27,"Drama"," Nominated"," Under 100M",9.290322581
"227","9-Sep","Warrior","Drama",25000000,13657115,2011,NA,"Not on Netflix",0,0,0,83,92,"Drama"," Nominated"," Under 100M",9.290322581
"228","16-Sep","3","Drama",7200000,59774,2011,2.9,"On Netflix",0,0,0,80,65,"Drama"," Nominated"," Under 100M",9.516129032
"229","16-Sep","Drive","Action",15000000,35060689,2011,NA,"Not on Netflix",0,0,0,93,78,"Action"," Nominated"," Under 100M",9.516129032
"230","16-Sep","I Don't Know How She Does It","Comedy",24000000,9659074,2011,3.4,"On Netflix",0,0,0,17,32,"Comedy"," Nominated"," Under 100M",9.516129032
"231","16-Sep","Restless","Drama",8000000,163753,2011,NA,"Not on Netflix",0,0,0,36,48,"Drama"," Nominated"," Under 100M",9.516129032
"232","16-Sep","Straw Dogs","Thriller/Suspense",25000000,10324441,2011,NA,"Not on Netflix",0,0,0,41,34,"Thriller/Suspense"," Nominated"," Under 100M",9.516129032
"233","23-Sep","Abduction","Thriller/Suspense",35000000,28087155,2011,NA,"Not on Netflix",0,0,0,4,43,"Thriller/Suspense"," Nominated"," Under 100M",9.741935484
"234","23-Sep","Dolphin Tale","Drama",37000000,72286779,2011,NA,"Not on Netflix",0,0,0,82,81,"Drama"," Nominated"," Under 100M",9.741935484
"235","23-Sep","Killer Elite","Action",70000000,25124986,2011,NA,"Not on Netflix",0,0,0,25,43,"Action"," Nominated"," Under 100M",9.741935484
"236","23-Sep","Machine Gun Preacher","Drama",30000000,538690,2011,NA,"Not on Netflix",0,0,0,29,63,"Drama"," Nominated"," Under 100M",9.741935484
"237","23-Sep","Moneyball","Drama",50000000,75605492,2011,NA,"Not on Netflix",0,0,0,94,86,"Drama"," Nominated"," Under 100M",9.741935484
"238","23-Sep","Weekend","Drama",190000,484592,2011,3.6,"On Netflix",0,0,0,95,86,"Drama"," Nominated"," Under 100M",9.741935484
"239","30-Sep","Courageous","Drama",2000000,34522221,2011,NA,"Not on Netflix",0,0,0,30,86,"Drama"," Nominated"," Under 100M",9.967741935
"240","30-Sep","Dream House","Horror",50000000,21302340,2011,NA,"Not on Netflix",0,0,0,6,36,"Horror"," Nominated"," Under 100M",9.967741935
"241","30-Sep","Margaret","Drama",14000000,47185,2011,NA,"Not on Netflix",0,0,0,71,48,"Drama"," Nominated"," Under 100M",9.967741935
"242","30-Sep","Take Shelter","Drama",4750000,1728953,2011,NA,"Not on Netflix",0,0,0,92,81,"Drama"," Nominated"," Under 100M",9.967741935
"243","30-Sep","What's Your Number?","Romantic Comedy",20000000,14011084,2011,NA,"Not on Netflix",0,0,0,23,44,"Comedy"," Nominated"," Under 100M",9.967741935
"244","7-Oct","Blackthorn","Adventure",4500000,200558,2011,3.5,"On Netflix",0,0,0,75,63,"Adventure"," Nominated"," Under 100M",10.22580645
"245","7-Oct","The Ides of March","Drama",23000000,40962534,2011,NA,"Not on Netflix",0,0,0,85,73,"Drama"," Nominated"," Under 100M",10.22580645
"246","7-Oct","Real Steel","Action",110000000,85463309,2011,NA,"Not on Netflix",0,0,0,60,73,"Action"," Nominated"," Under 100M",10.22580645
"247","7-Oct","Xinhai geming","Drama",30000000,135739,2011,NA,"Not on Netflix",0,0,0,NA,NA,"Drama"," Nominated"," Under 100M",10.22580645
"248","21-Oct","Le Havre","Drama",5500000,611709,2011,NA,"Not on Netflix",0,0,0,99,75,"Drama"," Nominated"," Under 100M",10.67741935
"249","21-Oct","Johnny English Reborn","Comedy",45000000,8305970,2011,NA,"Not on Netflix",0,0,0,39,45,"Comedy"," Nominated"," Under 100M",10.67741935
"250","21-Oct","Margin Call","Drama",3400000,5353586,2011,NA,"Not on Netflix",0,0,0,88,74,"Drama"," Nominated"," Under 100M",10.67741935
"251","21-Oct","Martha Marcy May Marlene","Thriller/Suspense",1000000,2981038,2011,NA,"Not on Netflix",0,0,0,90,71,"Thriller/Suspense"," Nominated"," Under 100M",10.67741935
"252","21-Oct","The Mighty Macs","Drama",7000000,1891936,2011,4,"On Netflix",0,0,0,46,64,"Drama"," Nominated"," Under 100M",10.67741935
"253","21-Oct","Paranormal Activity 3","Horror",5000000,104028807,2011,3.4,"On Netflix",0,0,0,68,51,"Horror"," Nominated"," Over 100M",10.67741935
"254","21-Oct","The Three Musketeers 3D","Adventure",90000000,20377913,2011,NA,"Not on Netflix",0,0,0,24,40,"Adventure"," Nominated"," Under 100M",10.67741935
"255","28-Oct","Anonymous","Thriller/Suspense",27500000,4463292,2011,NA,"Not on Netflix",0,0,0,47,54,"Thriller/Suspense"," Nominated"," Under 100M",10.90322581
"256","28-Oct","In Time","Thriller/Suspense",35000000,37553932,2011,NA,"Not on Netflix",0,0,0,36,51,"Thriller/Suspense"," Nominated"," Under 100M",10.90322581
"257","28-Oct","Like Crazy","Drama",250000,3395391,2011,3.4,"On Netflix",0,0,0,73,61,"Drama"," Nominated"," Under 100M",10.90322581
"258","28-Oct","Puss in Boots","Adventure",130000000,149260504,2011,NA,"Not on Netflix",0,0,0,84,68,"Adventure"," Nominated"," Over 100M",10.90322581
"259","4-Nov","The Son of No One","Drama",15000000,30680,2011,NA,"Not on Netflix",0,0,0,16,23,"Drama"," Nominated"," Under 100M",11.12903226
"260","4-Nov","Tower Heist","Comedy",85000000,78046570,2011,NA,"Not on Netflix",0,0,0,68,49,"Comedy"," Nominated"," Under 100M",11.12903226
"261","4-Nov","A Very Harold & Kumar 3D Christmas","Comedy",20000000,35061031,2011,NA,"Not on Netflix",0,0,0,69,59,"Comedy"," Nominated"," Under 100M",11.12903226
"262","11-Nov","Immortals","Action",75000000,83504017,2011,NA,"Not on Netflix",0,0,0,-1,0,"Action"," Nominated"," Under 100M",11.35483871
"263","11-Nov","Melancholia","Thriller/Suspense",9400000,3030848,2011,3.3,"On Netflix",0,0,0,78,67,"Thriller/Suspense"," Nominated"," Under 100M",11.35483871
"264","18-Nov","Happy Feet Two","Adventure",135000000,64006466,2011,NA,"Not on Netflix",0,0,0,46,62,"Adventure"," Nominated"," Under 100M",11.58064516
"265","18-Nov","The Twilight Saga: Breaking Dawn: Part 1","Drama",127500000,281287133,2011,NA,"Not on Netflix",0,0,0,-1,91,"Drama"," Nominated"," Over 100M",11.58064516
"266","23-Nov","Arthur Christmas","Adventure",85000000,46462469,2011,NA,"Not on Netflix",0,0,0,91,77,"Adventure"," Nominated"," Under 100M",11.74193548
"267","23-Nov","A Dangerous Method","Drama",20000000,5702083,2011,NA,"Not on Netflix",0,0,0,77,50,"Drama"," Nominated"," Under 100M",11.74193548
"268","23-Nov","Hugo","Adventure",180000000,73864507,2011,3.8,"On Netflix",5,11,0,94,78,"Adventure"," Not Nominated"," Under 100M",11.74193548
"269","23-Nov","The Muppets","Comedy",45000000,88625922,2011,NA,"Not on Netflix",1,1,0,96,80,"Comedy"," Not Nominated"," Under 100M",11.74193548
"270","25-Nov","The Artist","Drama",16000000,44667095,2011,3.9,"On Netflix",5,10,1,98,88,"Drama"," Not Nominated"," Under 100M",11.80645161
"271","26-Nov","We Bought a Zoo","Drama",50000000,75624550,2011,NA,"Not on Netflix",0,0,0,66,72,"Drama"," Nominated"," Under 100M",11.83870968
"272","2-Dec","Coriolanus","Drama",10000000,749641,2011,3,"On Netflix",0,0,0,93,58,"Drama"," Nominated"," Under 100M",12.06451613
"273","2-Dec","Shame","Drama",6500000,4002293,2011,NA,"Not on Netflix",0,0,0,79,75,"Drama"," Nominated"," Under 100M",12.06451613
"274","9-Dec","New Year's Eve","Romantic Comedy",26000000,54544638,2011,NA,"Not on Netflix",0,0,0,7,46,"Comedy"," Nominated"," Under 100M",12.29032258
"275","9-Dec","Tinker Tailor Soldier Spy","Thriller/Suspense",21000000,24149393,2011,NA,"Not on Netflix",0,0,0,83,65,"Thriller/Suspense"," Nominated"," Under 100M",12.29032258
"276","9-Dec","Young Adult","Comedy",12000000,16311571,2011,3,"On Netflix",0,0,0,80,49,"Comedy"," Nominated"," Under 100M",12.29032258
"277","9-Dec","The Descendants","Comedy",20000000,177243185,2011,NA,"Not on Netflix",1,5,0,89,79,"Comedy"," Not Nominated"," Over 100M",12.29032258
"278","16-Dec","Mission: Impossible - Ghost Protocol","Action",145000000,209397903,2011,3.9,"On Netflix",0,0,0,93,76,"Action"," Nominated"," Over 100M",12.51612903
"279","20-Dec","The Girl with the Dragon Tattoo","Thriller/Suspense",90000000,102515793,2011,3.9,"On Netflix",1,5,0,86,86,"Thriller/Suspense"," Not Nominated"," Over 100M",12.64516129
"280","21-Dec","The Adventures of Tintin","Adventure",130000000,77591831,2011,3.8,"On Netflix",0,0,0,75,74,"Adventure"," Nominated"," Under 100M",12.67741935
"281","21-Dec","Albert Nobbs","Drama",7500000,3014696,2011,3.4,"On Netflix",0,0,0,55,48,"Drama"," Nominated"," Under 100M",12.67741935
"282","21-Dec","Jin líng shí san chai","Drama",100000000,311434,2011,NA,"Not on Netflix",0,0,0,NA,NA,"Drama"," Nominated"," Under 100M",12.67741935
"283","25-Dec","The Darkest Hour","Action",34800000,21443494,2011,NA,"Not on Netflix",0,0,0,12,26,"Action"," Nominated"," Under 100M",12.80645161
"284","25-Dec","War Horse","Drama",70000000,79883359,2011,NA,"Not on Netflix",0,0,0,77,74,"Drama"," Nominated"," Under 100M",12.80645161
"285","30-Dec","The Iron Lady","Drama",14000000,29959436,2011,3.4,"On Netflix",2,2,0,51,51,"Drama"," Not Nominated"," Under 100M",12.96774194
"286","30-Dec","Jodaeiye Nader az Simin","Drama",800000,7098492,2011,NA,"Not on Netflix",0,0,0,99,92,"Drama"," Nominated"," Under 100M",12.96774194
"287","8-Jan","Daybreakers","Horror",20000000,30101577,2010,NA,"Not on Netflix",0,0,0,67,49,"Horror"," Nominated"," Under 100M",1.258064516
"288","8-Jan","Leap Year","Romantic Comedy",19000000,25918920,2010,2.5,"On Netflix",0,0,0,-1,100,"Comedy"," Nominated"," Under 100M",1.258064516
"289","8-Jan","Youth in Revolt","Comedy",18000000,15285588,2010,NA,"Not on Netflix",0,0,0,66,52,"Comedy"," Nominated"," Under 100M",1.258064516
"290","15-Jan","The Book of Eli","Action",80000000,94835059,2010,NA,"Not on Netflix",0,0,0,48,64,"Action"," Nominated"," Under 100M",1.483870968
"291","15-Jan","The Last Station","Drama",18000000,6617867,2010,NA,"Not on Netflix",0,0,0,71,67,"Drama"," Nominated"," Under 100M",1.483870968
"292","15-Jan","The Spy Next Door","Comedy",28000000,24307106,2010,NA,"Not on Netflix",0,0,0,12,40,"Comedy"," Nominated"," Under 100M",1.483870968
"293","21-Jan","Biutiful","Drama",35000000,5101237,2010,3.6,"On Netflix",0,0,0,65,75,"Drama"," Nominated"," Under 100M",1.677419355
"294","22-Jan","Extraordinary Measures","Drama",31000000,12482741,2010,NA,"Not on Netflix",0,0,0,28,54,"Drama"," Nominated"," Under 100M",1.709677419
"295","22-Jan","Legion","Thriller/Suspense",26000000,40168080,2010,NA,"Not on Netflix",0,0,0,20,31,"Thriller/Suspense"," Nominated"," Under 100M",1.709677419
"296","22-Jan","To Save a Life","Drama",500000,3777210,2010,NA,"Not on Netflix",0,0,0,33,83,"Drama"," Nominated"," Under 100M",1.709677419
"297","22-Jan","The Tooth Fairy","Comedy",48000000,60022256,2010,NA,"Not on Netflix",0,0,0,18,42,"Comedy"," Nominated"," Under 100M",1.709677419
"298","29-Jan","Edge of Darkness","Drama",60000000,43313890,2010,NA,"Not on Netflix",0,0,0,56,49,"Drama"," Nominated"," Under 100M",1.935483871
"299","3-Feb","Ajami","Drama",1000000,621859,2010,3.4,"On Netflix",0,0,0,97,81,"Drama"," Nominated"," Under 100M",2.096774194
"300","5-Feb","Dear John","Drama",25000000,80014842,2010,NA,"Not on Netflix",0,0,0,28,55,"Drama"," Nominated"," Under 100M",2.161290323
"301","5-Feb","From Paris With Love","Thriller/Suspense",52000000,24077427,2010,NA,"Not on Netflix",0,0,0,37,54,"Thriller/Suspense"," Nominated"," Under 100M",2.161290323
"302","5-Feb","The Red Riding Trilogy: 1974","Drama",9000000,148826,2010,NA,"Not on Netflix",0,0,0,NA,NA,"Drama"," Nominated"," Under 100M",2.161290323
"303","12-Feb","My Name is Khan","Drama",8470000,4046336,2010,NA,"Not on Netflix",0,0,0,80,82,"Drama"," Nominated"," Under 100M",2.387096774
"304","12-Feb","Percy Jackson & the Olympians: The Lightning Thief","Adventure",95000000,88768303,2010,NA,"Not on Netflix",0,0,0,49,54,"Adventure"," Nominated"," Under 100M",2.387096774
"305","12-Feb","Valentine's Day","Romantic Comedy",52000000,110485654,2010,NA,"Not on Netflix",0,0,0,18,48,"Comedy"," Nominated"," Over 100M",2.387096774
"306","12-Feb","The Wolfman","Horror",150000000,62189884,2010,NA,"Not on Netflix",0,0,0,34,33,"Horror"," Nominated"," Under 100M",2.387096774
"307","19-Feb","Blood Done Sign My Name","Drama",10000000,109383,2010,NA,"Not on Netflix",0,0,0,50,62,"Drama"," Nominated"," Under 100M",2.612903226
"308","19-Feb","The Ghost Writer","Thriller/Suspense",45000000,15541549,2010,NA,"Not on Netflix",0,0,0,83,70,"Thriller/Suspense"," Nominated"," Under 100M",2.612903226
"309","19-Feb","The Good Guy","Romantic Comedy",10000000,100688,2010,NA,"Not on Netflix",0,0,0,33,31,"Comedy"," Nominated"," Under 100M",2.612903226
"310","19-Feb","Le Petit Nicolas","Comedy",30000000,201857,2010,NA,"Not on Netflix",0,0,0,60,73,"Comedy"," Nominated"," Under 100M",2.612903226
"311","19-Feb","Shutter Island","Thriller/Suspense",80000000,128012934,2010,NA,"Not on Netflix",0,0,0,69,76,"Thriller/Suspense"," Nominated"," Over 100M",2.612903226
"312","26-Feb","Cop Out","Comedy",37000000,44875481,2010,NA,"Not on Netflix",0,0,0,19,40,"Comedy"," Nominated"," Under 100M",2.838709677
"313","26-Feb","The Crazies","Horror",19000000,39123589,2010,NA,"Not on Netflix",0,0,0,53,44,"Horror"," Nominated"," Under 100M",2.838709677
"314","26-Feb","Un Prophète","Drama",13000000,2087720,2010,NA,"Not on Netflix",0,0,0,NA,NA,"Drama"," Nominated"," Under 100M",2.838709677
"315","26-Feb","The Yellow Handkerchief","Drama",15500000,318623,2010,NA,"Not on Netflix",0,0,0,67,59,"Drama"," Nominated"," Under 100M",2.838709677
"316","5-Mar","Alice in Wonderland","Adventure",200000000,334191110,2010,NA,"Not on Netflix",2,3,0,77,78,"Adventure"," Not Nominated"," Over 100M",3.161290323
"317","5-Mar","Brooklyn's Finest","Thriller/Suspense",17000000,27163593,2010,NA,"Not on Netflix",0,0,0,43,46,"Thriller/Suspense"," Nominated"," Under 100M",3.161290323
"318","5-Mar","The Secret of Kells","Adventure",8000000,690290,2010,3.8,"On Netflix",0,0,0,91,85,"Adventure"," Nominated"," Under 100M",3.161290323
"319","12-Mar","The Exploding Girl","Drama",40000,25572,2010,NA,"Not on Netflix",0,0,0,74,54,"Drama"," Nominated"," Under 100M",3.387096774
"320","12-Mar","Green Zone","Drama",100000000,35497337,2010,NA,"Not on Netflix",0,0,0,53,57,"Drama"," Nominated"," Under 100M",3.387096774
"321","12-Mar","Remember Me","Drama",16000000,19068240,2010,NA,"Not on Netflix",0,0,0,-1,50,"Drama"," Nominated"," Under 100M",3.387096774
"322","12-Mar","She's Out of My League","Romantic Comedy",20000000,32010860,2010,NA,"Not on Netflix",0,0,0,58,59,"Comedy"," Nominated"," Under 100M",3.387096774
"323","19-Mar","The Bounty Hunter","Romantic Comedy",45000000,67061228,2010,NA,"Not on Netflix",0,0,0,13,51,"Comedy"," Nominated"," Under 100M",3.612903226
"324","19-Mar","City Island","Comedy",6000000,6671283,2010,NA,"Not on Netflix",0,0,0,81,80,"Comedy"," Nominated"," Under 100M",3.612903226
"325","19-Mar","Diary of a Wimpy Kid","Comedy",15000000,64003625,2010,NA,"Not on Netflix",0,0,0,53,49,"Comedy"," Nominated"," Under 100M",3.612903226
"326","19-Mar","Repo Men","Action",32000000,13942007,2010,NA,"Not on Netflix",0,0,0,-1,0,"Action"," Nominated"," Under 100M",3.612903226
"327","19-Mar","The Runaways","Drama",9500000,3573673,2010,NA,"Not on Netflix",0,0,0,-1,100,"Drama"," Nominated"," Under 100M",3.612903226
"328","26-Mar","Ca$h","Thriller/Suspense",7000000,46488,2010,3.5,"On Netflix",0,0,0,-1,45,"Thriller/Suspense"," Nominated"," Under 100M",3.838709677
"329","26-Mar","Chloe","Thriller/Suspense",13000000,3075255,2010,NA,"Not on Netflix",0,0,0,51,39,"Thriller/Suspense"," Nominated"," Under 100M",3.838709677
"330","26-Mar","Hot Tub Time Machine","Comedy",36000000,50269859,2010,NA,"Not on Netflix",0,0,0,63,56,"Comedy"," Nominated"," Under 100M",3.838709677
"331","26-Mar","How to Train Your Dragon","Adventure",165000000,217581231,2010,NA,"Not on Netflix",0,0,0,-1,98,"Adventure"," Nominated"," Over 100M",3.838709677
"332","31-Mar","The Last Song","Drama",20000000,62950384,2010,NA,"Not on Netflix",0,0,0,20,65,"Drama"," Nominated"," Under 100M",4
"333","1-Apr","Clash of the Titans","Action",125000000,163214888,2010,NA,"Not on Netflix",0,0,0,66,70,"Action"," Nominated"," Over 100M",4.032258065
"334","2-Apr","The Greatest","Drama",6000000,115862,2010,NA,"Not on Netflix",0,0,0,52,54,"Drama"," Nominated"," Under 100M",4.064516129
"335","2-Apr","Why Did I Get Married Too?","Drama",20000000,60095852,2010,NA,"Not on Netflix",0,0,0,26,67,"Drama"," Nominated"," Under 100M",4.064516129
"336","9-Apr","Date Night","Comedy",55000000,98711404,2010,NA,"Not on Netflix",0,0,0,67,55,"Comedy"," Nominated"," Under 100M",4.290322581
"337","9-Apr","Letters to God","Drama",3000000,2848587,2010,NA,"Not on Netflix",0,0,0,25,74,"Drama"," Nominated"," Under 100M",4.290322581
"338","9-Apr","The Square","Thriller/Suspense",1900000,406216,2010,4.2,"On Netflix",0,0,0,86,69,"Thriller/Suspense"," Nominated"," Under 100M",4.290322581
"339","16-Apr","The City of Your Final Destination","Drama",8300000,493296,2010,NA,"Not on Netflix",0,0,0,38,38,"Drama"," Nominated"," Under 100M",4.516129032
"340","16-Apr","Death at a Funeral","Comedy",21000000,42739347,2010,NA,"Not on Netflix",0,0,0,61,79,"Comedy"," Nominated"," Under 100M",4.516129032
