ID,Word,Count
674,nervous,5
675,new,5
686,notice,5
689,number,5
727,passed,5
748,piece,5
767,pocket,5
781,prizes,5
832,remembered,5
854,rule,5
860,sadly,5
871,school,5
894,shant,5
908,shouldnt,5
909,shouted,5
916,shut,5
920,sighed,5
925,silent,5
941,sleepy,5
957,soldiers,5
970,sounded,5
974,speaking,5
987,stay,5
1005,sudden,5
1014,surprise,5
1016,swam,5
1017,swim,5
1024,taking,5
1042,temper,5
1074,tis,5
1084,treacle,5
1086,tree,5
1112,twice,5
1135,usual,5
1151,walk,5
1172,whats,5
1206,wrong,5
1217,young,5
10,age,4
15,alas,4
27,ann,4
29,answered,4
36,arches,4
37,argument,4
57,bats,4
59,beat,4
68,begins,4
86,boots,4
88,bowed,4
89,box,4
94,breath,4
105,busily,4
113,capital,4
115,care,4
118,carried,4
185,creature,4
192,crowd,4
195,crumbs,4
212,dead,4
220,deeply,4
231,digging,4
242,dish,4
250,dogs,4
251,doing,4
257,doubt,4
272,duck,4
281,earth,4
288,eeevening,4
298,escape,4
320,faces,4
323,fallen,4
330,fast,4
333,fear,4
340,fellow,4
375,french,4
381,frowning,4
395,girl,4
414,green,4
417,ground,4
422,grunted,4
452,hearing,4
458,held,4
469,honour,4
496,indignantly,4
499,instantly,4
515,judge,4
517,jumping,4
518,jurors,4
520,jurybox,4
532,kitchen,4
534,knee,4
555,lay,4
562,led,4
583,lives,4
607,mabel,4
615,managed,4
620,mary,4
626,means,4
627,meant,4
643,miss,4
656,moved,4
667,natural,4
697,officers,4
707,ordered,4
712,outside,4
714,pack,4
717,pale,4
720,paper,4
724,particular,4
726,passage,4
734,paws,4
740,perfectly,4
742,person,4
746,pictures,4
758,plan,4
762,players,4
768,pointing,4
773,porpoise,4
792,puzzling,4
793,quadrille,4
803,quietly,4
807,rabbits,4
814,reach,4
838,reply,4
856,run,4
866,savage,4
870,says,4
876,second,4
890,severely,4
897,sharply,4
904,short,4
906,shoulder,4
907,shoulders,4
913,shriek,4
915,shrinking,4
918,sides,4
919,sigh,4
937,sky,4
959,solemnly,4
969,sound,4
971,sounds,4
988,stick,4
997,strange,4
1001,stuff,4
1022,taken,4
1032,taught,4
1043,thank,4
1047,theyd,4
1048,theyll,4
1050,thimble,4
1058,thoughtfully,4
1072,tiny,4
1075,today,4
1080,tongue,4
1091,trials,4
1096,TRUE,4
1097,trumpet,4
1114,twinkling,4
1119,uncomfortable,4
1137,vanished,4
1139,ventured,4
1141,verse,4
1142,verses,4
1144,violently,4
1153,walking,4
1156,wanted,4
1165,water,4
1166,waving,4
1175,whispered,4
1199,worth,4
1204,writing,4
1208,yaw,4
1212,yer,4
4,advance,3
5,advantage,3
18,alive,3
19,allow,3
30,anxious,3
47,attending,3
56,bat,3
76,bills,3
95,breathe,3
98,bring,3
99,bringing,3
102,brought,3
107,butter,3
108,cake,3
109,cakes,3
112,candle,3
114,cards,3
122,catch,3
126,caucusrace,3
127,caught,3
129,cause,3
131,cautiously,3
132,certain,3
140,checked,3
141,cheered,3
148,choked,3
151,civil,3
166,confused,3
167,confusing,3
170,consider,3
171,considered,3
172,considering,3
179,corner,3
183,crab,3
189,croquetground,3
190,crossed,3
194,crown,3
209,dark,3
211,days,3
215,dears,3
216,decided,3
217,decidedly,3
221,delight,3
239,directions,3
256,doth,3
271,duchesss,3
276,eaglet,3
282,easily,3
285,edge,3
286,editions,3
289,effect,3
291,elbow,3
292,em,3
310,expecting,3
331,faster,3
345,figure,3
347,finding,3
351,fish,3
353,fit,3
357,floor,3
359,fly,3
360,folded,3
361,follow,3
363,follows,3
364,fond,3
370,forgetting,3
374,free,3
376,friend,3
382,fun,3
383,funny,3
384,fur,3
391,general,3
393,gently,3
396,girls,3
409,grand,3
410,grass,3
411,grave,3
412,gravely,3
416,grinned,3
420,growl,3
424,guess,3
425,guessed,3
426,guests,3
428,guineapigs,3
434,handed,3
436,hanging,3
456,hedgehogs,3
460,hes,3
465,hoarse,3
467,holding,3
471,hope,3
472,hoping,3
475,hours,3
477,howling,3
479,hungry,3
480,hunting,3
484,hurt,3
491,immediately,3
494,impossible,3
498,instance,3
500,instead,3
526,kick,3
531,kings,3
537,knocking,3
541,knowledge,3
544,lady,3
550,later,3
558,learning,3
565,legs,3
569,letter,3
576,list,3
578,listening,3
581,lived,3
582,livery,3
592,longer,3
598,lost,3
601,love,3
618,mark,3
621,master,3
631,mentioned,3
635,met,3
636,mice,3
639,miles,3
645,mistake,3
655,mouths,3
657,moving,3
660,music,3
663,muttering,3
673,neednt,3
677,nibbling,3
680,night,3
681,noise,3
688,notion,3
691,nursing,3
692,obliged,3
694,oclock,3
704,opening,3
706,order,3
711,outoftheway,3
713,owl,3
718,panther,3
728,passion,3
731,pattering,3
733,paw,3
736,peeped,3
744,picked,3
749,pieces,3
759,plate,3
764,pleaded,3
769,poison,3
775,possibly,3
776,pray,3
777,present,3
780,pressed,3
783,procession,3
784,proper,3
790,putting,3
799,questions,3
806,rabbithole,3
816,reading,3
818,real,3
825,remained,3
829,remarking,3
830,remarks,3
836,repeating,3
849,rosetree,3
855,rules,3
859,sad,3
882,sense,3
886,serpents,3
888,settled,3
892,shaking,3
895,shaped,3
899,shell,3
903,shore,3
914,shrill,3
921,sighing,3
942,slipped,3
945,smaller,3
951,snail,3
955,sobbing,3
958,solemn,3
968,sorts,3
975,spectacles,3
976,speech,3
980,spread,3
981,stairs,3
984,staring,3
994,stopped,3
1004,succeeded,3
1007,suit,3
1009,sulky,3
1012,suppressed,3
1021,tails,3
1025,tale,3
1031,tasted,3
1034,teacup,3
1038,telescope,3
1064,throw,3
1076,toes,3
1082,tortoise,3
1083,tossing,3
1102,tucked,3
1107,turns,3
1109,turtles,3
1126,unimportant,3
1130,upset,3
1138,venture,3
1140,verdict,3
1164,watching,3
1168,week,3
1173,whiskers,3
1174,whisper,3
1198,worse,3
1207,wrote,3
1214,yesterday,3
0,absurd,2
1,accident,2
3,addressed,2
7,advice,2
8,advisable,2
11,agree,2
14,alarm,2
22,andoh,2
23,anger,2
32,appear,2
34,apples,2
35,archbishop,2
40,ashamed,2
45,assembled,2
46,atom,2
48,authority,2
52,bad,2
53,bank,2
54,bark,2
55,barrowful,2
58,beasts,2
60,beating,2
63,beautifully,2
70,beheaded,2
72,belongs,2
73,bend,2
77,bird,2
80,bite,2
83,blow,2
84,body,2
90,boy,2
91,branches,2
93,break,2
97,brightened,2
100,broke,2
103,brown,2
104,burn,2
116,carefully,2
117,cares,2
119,carrying,2
123,catching,2
128,cauldron,2
130,caused,2
137,changes,2
138,changing,2
147,choice,2
150,chose,2
152,claws,2
153,clear,2
154,clever,2
155,clock,2
157,coaxing,2
158,collected,2
160,comes,2
161,comfits,2
163,concert,2
164,concluded,2
165,conclusion,2
169,conqueror,2
173,constant,2
174,contemptuously,2
178,cool,2
180,courage,2
184,crash,2
191,crossexamine,2
196,crying,2
197,cup,2
198,cupboards,2
201,curiouser,2
202,curled,2
203,cushion,2
